City,Area,Pincode,District,State,
Anantapur,A Narayanapuram,515004,Ananthapur,Andhra Pradesh,
Anantapur,Akuledu,515731,Ananthapur,Andhra Pradesh,
Anantapur,Alamuru,515002,Ananthapur,Andhra Pradesh,
Anantapur,Allapuram,515766,Ananthapur,Andhra Pradesh,
Anantapur,Aluru,515415,Ananthapur,Andhra Pradesh,
Anantapur,Amidyaya,515822,Ananthapur,Andhra Pradesh,
Anantapur,Ammaladinne,515445,Ananthapur,Andhra Pradesh,
Anantapur,Anantapur Collectorate,515001,Ananthapur,Andhra Pradesh,
Anantapur,Ankampalli,515741,Ananthapur,Andhra Pradesh,
Anantapur,Anumpalli,515775,Ananthapur,Andhra Pradesh,
Anantapur,Appecharla,515455,Ananthapur,Andhra Pradesh,
Anantapur,Araveedu,515465,Ananthapur,Andhra Pradesh,
Anantapur,Atmakur(ATP),515751,Ananthapur,Andhra Pradesh,
Anantapur,Avuladatla,515867,Ananthapur,Andhra Pradesh,
Anantapur,Aydukallu,515763,Ananthapur,Andhra Pradesh,
Anantapur,Ayyagarlapalli,515767,Ananthapur,Andhra Pradesh,
Anantapur,Ayyavaripalli,515722,Ananthapur,Andhra Pradesh,
Anantapur,B.T.Project,515863,Ananthapur,Andhra Pradesh,
Anantapur,Bandlapalli,515425,Ananthapur,Andhra Pradesh,
Anantapur,Basinepalli,515402,Ananthapur,Andhra Pradesh,
Anantapur,Bavarampalli,515761,Ananthapur,Andhra Pradesh,
Anantapur,Bhattuvanipalli,515787,Ananthapur,Andhra Pradesh,
Anantapur,Bhogasamudram Project,515413,Ananthapur,Andhra Pradesh,
Anantapur,Bollanaguddem,515870,Ananthapur,Andhra Pradesh,
Anantapur,Bommanahal,515871,Ananthapur,Andhra Pradesh,
Anantapur,Bondaladinne,515411,Ananthapur,Andhra Pradesh,
Anantapur,Brahmanapalli,515408,Ananthapur,Andhra Pradesh,
Anantapur,Brahmanapalli,515401,Ananthapur,Andhra Pradesh,
Anantapur,Budagavi,515812,Ananthapur,Andhra Pradesh,
Anantapur,Bukkarayasamudram,515701,Ananthapur,Andhra Pradesh,
Anantapur,Chadam,515865,Ananthapur,Andhra Pradesh,
Anantapur,Chalivemula,515414,Ananthapur,Andhra Pradesh,
Anantapur,Chayapuram,515842,Ananthapur,Andhra Pradesh,
Anantapur,Chinnavadugur,515405,Ananthapur,Andhra Pradesh,
Anantapur,Chitrachedu,515611,Ananthapur,Andhra Pradesh,
Anantapur,Chiyyedu,515721,Ananthapur,Andhra Pradesh,
Anantapur,Cholasamudram,515711,Ananthapur,Andhra Pradesh,
Anantapur,Dasampalli,515765,Ananthapur,Andhra Pradesh,
Anantapur,Dosaludiki,515803,Ananthapur,Andhra Pradesh,
Anantapur,Gadehothur,515832,Ananthapur,Andhra Pradesh,
Anantapur,Gandhibazar (Ananthapur),515005,Ananthapur,Andhra Pradesh,
Anantapur,Guntakal,515801,Ananthapur,Andhra Pradesh,
Anantapur,Herial,515872,Ananthapur,Andhra Pradesh,
Anantapur,Kallur R.S.,515774,Ananthapur,Andhra Pradesh,
Anantapur,Narasapuram East,515435,Ananthapur,Andhra Pradesh,
Anantapur,Sri Venkateswara Puram,515003,Ananthapur,Andhra Pradesh,
Chittoor,Adavibudugur,517425,Chittoor,Andhra Pradesh,
Chittoor,Adilakshmambapuram,517403,Chittoor,Andhra Pradesh,
Chittoor,Agraharam,517280,Chittoor,Andhra Pradesh,
Chittoor,Akanambattu,517124,Chittoor,Andhra Pradesh,
Chittoor,Alappalle,517415,Chittoor,Andhra Pradesh,
Chittoor,Amudala,517421,Chittoor,Andhra Pradesh,
Chittoor,Angallu,517326,Madanapalle,Andhra Pradesh,
Chittoor,Annagaripalle,517390,Chittoor,Andhra Pradesh,
Chittoor,Appinapalle,517432,Chittoor,Andhra Pradesh,
Chittoor,Aradigunta,517247,Chittoor,Andhra Pradesh,
Chittoor,Arimakulapalle,517167,Chittoor,Andhra Pradesh,
Chittoor,Arimanipenta,517401,Chittoor,Andhra Pradesh,
Chittoor,Arugonda,517129,Chittoor,Andhra Pradesh,
Chittoor,Badikayalapalle,517370,Chittoor,Andhra Pradesh,
Chittoor,Bairupalle,517424,Chittoor,Andhra Pradesh,
Chittoor,Balireddigaripalle,517351,Chittoor,Andhra Pradesh,
Chittoor,Bandapalle,517127,Chittoor,Andhra Pradesh,
Chittoor,Bandrevu,517418,Chittoor,Andhra Pradesh,
Chittoor,Bangarupalem,517416,Chittoor,Andhra Pradesh,
Chittoor,Bisanatham,517426,Chittoor,Andhra Pradesh,
Chittoor,Bodaguttapalle,517422,Chittoor,Andhra Pradesh,
Chittoor,Bommasamudram,517132,Chittoor,Andhra Pradesh,
Chittoor,Booragamanda,517123,Chittoor,Andhra Pradesh,
Chittoor,Boyanapalle,517423,Chittoor,Andhra Pradesh,
Chittoor,Chalamangalam,517408,Chittoor,Andhra Pradesh,
Chittoor,Charala,517257,Chittoor,Andhra Pradesh,
Chittoor,Cheelapalle,517419,Chittoor,Andhra Pradesh,
Chittoor,Chembakur,517417,Chittoor,Andhra Pradesh,
Chittoor,Chennamagudipalle,517002,Chittoor,Andhra Pradesh,
Chittoor,Cherlopalle,517004,Chittoor,Andhra Pradesh,
Chittoor,Chinnamreddikandriga,517126,Chittoor,Andhra Pradesh,
Chittoor,Chinnatippasamudram,517319,Chittoor,Andhra Pradesh,
Chittoor,Chittoor Bazar,517001,Chittoor,Andhra Pradesh,
Chittoor,Deenabandupuram,517599,Chittoor,Andhra Pradesh,
Chittoor,Diguvatadakara,517131,Chittoor,Andhra Pradesh,
Chittoor,Ellampalle Kothuru,517130,Chittoor,Andhra Pradesh,
